b1_nummer;politician;vote;law;date;house;pdc_naam;category;district;sum_industry;sum_services;sum_agriculture;industry;services;agriculture;total_pers_taxes;vermogen_tax;income_tax;catholics;geref;hervormd;catholic_pct;geref_pct;hervormd_pct;party_granular;party_simple;birth_date;start_date;tenure;death_date;name_in_elec_combined;turnout;vote_share;soc_share;soc_dum;dsle;vote_share_nc;re;dugobo;fogobo;duprbo;foprbo;dush;fosh;cash;misc;debt;ta11;tl11;nw11;ta0;tl0;nw0;w_deflated;wealth_defl;defw_rb;expected_inheritance_rough;expected_inheritance;father_politician;deflated_eh;amount_of_strikes
01337;Taets van Amerongen;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Taets van Amerongen tot Natewisch;fiscal;Leiden;13055;18243;3798;0,371979712787782;0,5197973172425127;0,10821471098149175;231177;4868;10095;32235;6876;67172;0,30329403573478353;6,46952005494764e-02;0,63201076371574005;protestant;confessional;1803-10-19;1850-10-07;7878;1873-02-22;P.H. baron van Taets van Amerongen;0,738905325443787;0,3945371775417299;0;0;1059;0,20232675771370764;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
00416;van Foreest;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Foreest;fiscal;Alkmaar;8752;13420;2626;0,352931688039358;0,5411649732128598;0,10589181879499804;192005;4620;17879;34155;1466;63147;0,34581038393001784;1,48428640855338e-02;0,63934675198444846;protestant;confessional;1817-02-03;1848-09-18;8627;1875-05-22;jhr.mr. C. van Foreest;0,640456563094483;0,5423134702053080;0;0;555;0,45768652979469199;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
01092;van Reenen;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Reenen;fiscal;Amsterdam;39841;103090;509;0,277753764640268;0,7186963216633506;0,00354849737938846;915409;146;1325;57938;1917;132003;0,30198375882162848;9,99176474267427e-03;0,68802447643569720;protestant;confessional;1818-09-30;1858-05-03;5113;1893-05-31;jhr.mr. G.C.J. van Reenen;0,612275827229098;0,1690532462115946;0;0;324;0,16029473098846100;111010,000;45784,000;311214,0000;34009,000;26787,000;49215,000;102,000;2041,000;13305,000;-6036,13000;593477,2200;-6036,1300;587441,080;593586,260;-6016,1300;587570,1300;593377,508881592541;168220,6801084805047;136614,034418196854;NA;NA;1;NA;6
01065;Pyls;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Pyls;fiscal;Roermond;8338;7154;4486;0,417359095004505;0,3580864225335248;0,22453828625450037;74597;7839;19900;97304;37;3230;0,96751548657167563;3,67899295025405e-04;0,03211661413329887;liberal;liberal;1819-02-28;1869-09-21;954;1903-02-06;NA;NA;NA;NA;NA;NA;NA;538914,000;13529,000;0,0000;199255,510;0,000;50452,000;0,000;1168,750;14527,410;-6414,47000;803982,2100;-6414,4700;843083,590;849498,060;-6414,4700;843083,5900;820688,297113095992;134979,7293084416888;115128,566175960121;NA;NA;0;NA;0
00589;Hoffman;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Hoffmann;fiscal;Gouda;15468;14320;6167;0,430204422194410;0,3982708569633182;0,17151600342737255;244681;13406;19545;29583;2816;88880;0,24392516429060265;2,32191888125727e-02;0,73285564689682459;protestant;confessional;1795-04-05;1844-10-22;10054;1874-02-03;M.A.F.H. Hoffman;0,507582515611062;0,5998781973203411;0;0;324;0,40012180267965897;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2
01316;Storm van 's Gravesande;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Storm van 's-Gravesande;fiscal;Steenwijk;10897;3582;8279;0,478820634502153;0,1573918902151007;0,36377399430655838;47201;3241;3642;3544;2420;44973;0,06957614307870506;4,75096688065650e-02;0,88291418811472988;liberal;liberal;1809-05-16;1847-11-09;8941;1880-07-08;jhr. C.M. Storm van 's Gravesande;0,476694915254237;0,7960426179604262;0;0;324;0,16742770167427701;84846,000;159586,000;143749,0000;168194,000;0,000;34675,000;0,000;545,000;17435,000;-980,18000;539754,3000;-980,1800;538774,180;539754,300;-980,1800;538774,1800;395608,196400622197;280880,4659403545666;258886,392642572755;NA;NA;1;NA;3
00841;Van Loon;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Loon;fiscal;Amersfoort;18404;11383;9241;0,471558880803526;0,2916588722370768;0,23677409269778091;158124;8936;18668;31843;1723;68008;0,31349557957745094;1,69630023431193e-02;0,66954141807942980;protestant;confessional;1816-12-23;1869-09-20;955;1876-03-07;jhr.mr. J.W. van Loon;0,585195530726257;0,5272952853598015;0;0;1059;0,47270471464019859;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
01168;Sandberg;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Sandberg;fiscal;Zwolle;22111;11555;13210;0,471691270586228;0,2464989275665086;0,28180300392193813;159177;5418;6856;21138;6237;72810;0,21098966911214251;6,22548285671508e-02;0,72675550232070674;liberal;liberal;1832-01-07;1869-09-20;955;1906-02-15;jhr.mr. J.A. Sandberg;0,740952380952381;0,5689027561102444;0;0;1059;0,43109724388975562;104650,000;95000,000;133490,0000;40937,000;115272,000;182960,000;10525,000;4161,000;11943,000;-882,67000;692755,8900;-882,6700;691873,160;692755,840;-882,6700;691873,1600;631719,764272697270;115580,9844797356782;84063,138129711951;NA;NA;0;NA;2
00697;Kien;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Kien;fiscal;Utrecht;22414;26504;8009;0,393732323853356;0,4655755035022937;0,14068682886339964;317440;7261;15929;37171;771;59433;0,38173042362002568;7,91784338896021e-03;0,61035173299101408;protestant;confessional;1800-04-09;1845-11-12;9668;1879-07-17;mr. N.P.J. Kien;0,450319375443577;0,2789735099337748;0;0;324;0,25496688741721857;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3
00113;de Bieberstein  Rogalla Zawadsky;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Bieberstein Rogalla Zawadsky;fiscal;Maastricht;11171;8253;2275;0,514816350983916;0,3803310843513060;0,10483921625164525;122833;5704;20416;91682;1333;5617;0,92953605320788379;1,35148836077541e-02;0,05694906318436208;liberal;liberal;1796-04-25;1858-09-20;4973;1880-10-31;C.A. baron van Bieberstein Rogalla Zawadsky;0,455983772819473;0,8811787072243346;0;0;324;0,11882129277566540;605214,000;5025,000;112215,0000;179402,000;4967,000;22893,000;33564,000;18140,000;22456,000;-21240,24000;608656,4400;-21240,2400;587415,200;718655,450;-21240,2400;697415,2100;512094,275509752741;431606,9934805748635;432765,179907410580;NA;NA;0;NA;0
00684;van Kerkwijk;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Kerkwijk;fiscal;Zierikzee;1266;1462;557;0,385388127853881;0,4450010660189571;0,16951574914877188;79585;8732;9467;3963;2468;43432;0,07947776908729919;4,94956179933016e-02;0,87102661291939920;liberal;liberal;1830-12-19;1863-03-04;3347;1901-05-21;J.J. van Kerkwijk;0,729850746268657;0,8482238966630786;0;0;1059;0,10979547900968784;25524,000;148610,000;0,0000;31025,000;0,000;99332,000;2000,000;2258,000;11869,000;-1524,00000;320618,4700;-2159,9600;318458,510;306895,970;-2159,9600;319236,0100;285890,363771386270;66339,6418261708022;49653,840085228447;107797,34;17966,223333333332;1;17966,2233333333315;0
00168;Borret;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Borret;fiscal;Tilburg;16723;6463;4186;0,610952798480199;0,2361119299560002;0,15292526897554304;113881;5179;8643;85114;547;14099;0,85318765036086608;5,48315958299920e-03;0,14132919005613473;catholic;confessional;1819-02-13;1868-02-25;1528;1900-03-29;F.H.H. Borret;0,478672985781991;0,8573232323232324;0;0;324;0,14267676767676768;35078,000;21520,000;16249,0000;17441,000;23663,000;8884,000;0,000;800,000;10794,000;-835,00000;67210,8800;-841,5550;66369,325;67531,715;-841,5550;66690,1600;66690,160000000003;28091,4249152083830;21841,278870991737;NA;NA;1;NA;0
01166;Saaymans Vader;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Saaymans Vader;fiscal;Goes;1511;1672;826;0,376901970566226;0,4170224054461504;0,20599562361014315;89821;9968;10292;12234;4130;37006;0,22922990444069699;7,73842982949222e-02;0,69338579726438077;protestant;confessional;1799-07-17;1866-11-20;1990;1891-03-18;mr. P.H. Saaymans Vader;0,774345198119543;0,6397800183318056;0;0;324;0,33638863428047661;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
00863;Mackay;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Mackay;fiscal;Tiel;1364;2122;246;0,365487674169346;0,5685402480029704;0,06589990558631133;63235;5441;6377;18076;1046;32709;0,34874881827477766;2,01809727769096e-02;0,63107020894831278;liberal;liberal;1839-12-22;1871-09-18;227;1921-08-01;mr. D.J. baron van Mackay;0,771134020618557;0,5088515660463006;0;0;324;0,49114843395369950;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
00464;Godefroi;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Godefroi;fiscal;Amsterdam;39841;103090;509;0,277753764640268;0,7186963216633506;0,00354849737938846;915409;146;1325;57938;1917;132003;0,30198375882162848;9,99176474267427e-03;0,68802447643569720;liberal;liberal;1813-12-16;1849-02-13;8479;1882-06-25;mr. M.H. Godefroi;0,454660267744380;0,5711086226203808;0;0;149;0,42889137737961919;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6
00974;van Nispen van Sevenaer;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Nispen van Sevenaer;fiscal;Nijmegen;13594;8636;7991;0,449819661824559;0,2857573032244631;0,26441234586443557;150547;5276;7162;84760;121;18061;0,82337627013269621;1,17541916807523e-03;0,17544831069922870;liberal;liberal;1803-12-27;1848-09-21;8624;1875-05-05;jhr. J.A.C.A. van Nispen van Sevenaer;0,691996766370251;0,7187127532777116;0;0;324;0,28128724672228844;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
01414;Verheijen;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Verheijen;fiscal;Tilburg;16723;6463;4186;0,610952798480199;0,2361119299560002;0,15292526897554304;113881;5179;8643;85114;547;14099;0,85318765036086608;5,48315958299920e-03;0,14132919005613473;catholic;confessional;1818-01-18;1866-11-19;1991;1898-01-11;jhr.mr. J.B.A.J.M. Verheyen;0,508248730964467;0,8272785213511791;0;0;1059;0,09432759719566602;110678,750;996,000;9034,8000;7335,200;1545,000;31580,000;4356,000;2426,000;4820,000;-10373,00000;145442,9100;-3959,2600;70305,110;79449,295;-2165,1600;77284,1350;78864,141958535271;31390,2030492516024;32888,356136781018;NA;NA;0;NA;0
00519;van Hardenbroek van Lockhorst;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Hardenbroek van Lockhorst;fiscal;Amersfoort;18404;11383;9241;0,471558880803526;0,2916588722370768;0,23677409269778091;158124;8936;18668;31843;1723;68008;0,31349557957745094;1,69630023431193e-02;0,66954141807942980;protestant;confessional;1829-01-19;1866-11-19;1991;1877-04-23;E.L. baron van Hardenbroek|mr. E.L. baron van Hardenbroek van Lockhorst;0,594689028651293;0,4679802955665024;0;0;324;0,27463054187192121;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
00537;Heemskerk Azn.;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Heemskerk Azn.;fiscal;Gorinchem;1494;2852;326;0,319777397260274;0,6104034261089726;0,06976350756059421;99736;8448;11173;10445;3556;38674;0,19829140958709063;6,75083056478405e-02;0,73420028476506882;liberal;liberal;1818-07-30;1860-04-24;4391;1897-10-09;mr. J. Heemskerk Bzn.;0,601412714429869;0,2109054951264303;0;0;1059;0,19211753072467863;25250,000;149411,000;304902,0000;188002,500;103859,000;52648,000;45055,000;3978,000;12110,000;-262181,85000;884255,0000;-262182,0000;537428,250;551843,870;-13962,8000;537881,0700;554414,560791840544;161045,6680179671093;227136,112793922017;NA;NA;NA;NA;0
00573;van den Heuvel;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Heuvel;fiscal;Boxmeer;1566;492;1186;0,482737361282367;0,1516420458443063;0,36552654669729256;38208;7522;6419;41165;43;3662;0,91742812569645626;9,58324047247604e-04;0,08161355025629596;liberal;liberal;1812-02-22;1853-06-14;6897;1898-06-07;mr. P. van den Heuvel;0,679967091731798;0,6998738965952080;0;0;324;0,30012610340479196;5000,000;8708,000;23390,0000;11780,000;0,000;0,000;0,000;494,000;3318,000;-1772,00000;52691,0000;-531,2000;52159,800;26345,500;-1550,6000;24784,9000;25291,605735486341;12740,9103125664406;9854,992850129813;NA;NA;0;NA;0
00954;van Naamen van Eemnes;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Naamen van Eemnes;fiscal;Zwolle;22111;11555;13210;0,471691270586228;0,2464989275665086;0,28180300392193813;159177;5418;6856;21138;6237;72810;0,21098966911214251;6,22548285671508e-02;0,72675550232070674;liberal;liberal;1828-02-27;1866-11-19;1991;1902-03-07;mr. A. van Naamen van Eemnes;0,653241273494438;0,5666871542716656;0;0;324;0,25998770743700061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2
00082;Begram;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Begram;fiscal;Gorinchem;1494;2852;326;0,319777397260274;0,6104034261089726;0,06976350756059421;99736;8448;11173;10445;3556;38674;0,19829140958709063;6,75083056478405e-02;0,73420028476506882;protestant;confessional;1823-05-23;1859-02-15;4825;1890-05-06;W.C.M. Begram;0,425055222467655;0,9482758620689656;0;0;324;0,05172413793103448;926450,000;20773,750;304,7500;186795,920;0,000;20898,000;0,000;0,000;12091,500;-37857,13000;1167314,7300;-37857,1300;1129457,600;1162110,360;-37857,1300;1124255,2200;1067120,938304154435;314759,0265105133876;323111,717573021888;NA;NA;1;NA;0
00186;Bots;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Bots;fiscal;Eindhoven;11286;2887;5531;0,572777101096224;0,1465142143733771;0,28069417880201408;70311;4807;8638;91155;50;2594;0,97181206622671867;5,33054723397904e-04;0,02765487904988326;liberal;liberal;1806-10-14;1847-10-18;8963;1874-03-02;mr. J.B. Bots;0,383636363636364;1,0000000000000000;0;0;590;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
01281;Smitz;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Smitz;fiscal;Eindhoven;11286;2887;5531;0,572777101096224;0,1465142143733771;0,28069417880201408;70311;4807;8638;91155;50;2594;0,97181206622671867;5,33054723397904e-04;0,02765487904988326;catholic;confessional;1828-09-30;1868-02-26;1527;1896-09-19;mr. P.J.A. Smitz;0,546702080566622;0,9766233766233766;0;0;324;0,02337662337662338;220888,000;866,000;33010,0000;107737,000;7115,000;4240,000;0,000;288,000;14296,000;-12252,00000;348427,4850;-12270,5150;336756,970;174973,505;-7184,0850;167789,4200;179774,378485657769;86326,0263401354023;78894,731760661947;NA;NA;0;NA;0
00674;Kappeyne van de Coppello;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Kappeyne van de Coppello;fiscal;Haarlem;10963;12390;4361;0,395576243054052;0,4470600834831405;0,15735250808474474;167500;1919;6585;27711;1304;29021;0,47747949548556062;2,24688124612310e-02;0,50005169205320832;liberal;liberal;1822-10-02;1862-09-15;3517;1895-07-28;mr. J. Kappeyne van de Coppello;0,593109105824446;0,6300211416490487;0;0;301;0,34038054968287529;18010,000;0,000;179186,0000;0,000;170878,000;10775,000;7000,000;3100,000;9428,000;-3434,25000;398382,8200;-3434,2500;394948,570;398382,820;-3434,2500;394948,5700;412374,167879392335;104899,2146643588349;83097,908203368002;NA;NA;0;NA;0
00857;van Lynden van Sandenburg;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Lynden van Sandenburg;fiscal;Tiel;1364;2122;246;0,365487674169346;0,5685402480029704;0,06589990558631133;63235;5441;6377;18076;1046;32709;0,34874881827477766;2,01809727769096e-02;0,63107020894831278;protestant;confessional;1826-02-24;1866-08-07;2095;1885-11-08;mr. C.T. graaf van Lynden van Sandenburg;0,735051546391753;0,5745489078822412;0;0;205;0,42545109211775878;731250,000;0,000;5532,0000;9249,100;3528,000;33266,300;3003,000;2066,000;78214,400;-209056,36000;840801,3000;-114700,3700;726100,920;840801,300;-114700,3700;726100,9200;638019,677472361829;219906,0105262986035;369093,227971265267;NA;NA;1;NA;0
01437;Viruly Verbrugge;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Viruly Verbrugge;fiscal;Rotterdam;22492;53633;535;0,293399426037047;0,6996190285961200;0,00697877732775010;417461;66;440;34998;4180;63368;0,34129073781522440;4,07621945273341e-02;0,61794706765744156;liberal;liberal;1830-01-04;1863-03-09;3342;1908-12-10;W.A. Viruly Verbrugge;0,643737574552684;0,3676998368678630;0;0;1059;0,36508972267536705;82521,000;85658,000;55230,0000;234385,000;3380,000;148718,000;2628,000;4000,000;8682,000;-3337,09000;568106,1600;-3337,0900;564769,070;568106,160;-3337,0900;564769,0700;490452,892042099498;102090,3382675574103;67556,225234926533;NA;NA;1;NA;5
00368;van Eck;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Eck;fiscal;Middelburg;3592;7107;546;0,319430858159182;0,6319962757569837;0,04855080546432261;179721;11808;16126;31729;1812;55500;0,35634146067541916;2,03501757617277e-02;0,62330836356285302;liberal;liberal;1817-05-28;1849-02-13;8479;1895-03-13;mr. D. van Eck;0,721551408708379;0,6377118644067796;0;0;1059;0,22351694915254236;36000,000;0,000;125073,8200;12240,000;181400,000;104226,610;5000,000;1710,000;10738,000;-4881,65000;479476,0000;-4859,4000;236766,000;239738,020;-2972,3500;236765,6700;247212,051302418491;120310,7650691015879;99389,777861171766;NA;NA;0;NA;0
00765;van Kuyk;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Kuyk;fiscal;Delft;12612;12518;2356;0,458851779087535;0,4554242533570220;0,08571351357741686;223825;6165;15251;31689;3503;74238;0,28958238143105181;3,20113314447592e-02;0,67840628712418893;protestant;confessional;1819-05-30;1868-02-25;1528;1885-05-27;mr. J. van Kuyk;0,659140568099053;0,6256352343308865;0;0;324;0,23997741389045735;0,000;21484,000;34113,7750;3000,000;420,000;785,000;308,250;140,000;7916,720;-4927,99500;68167,7450;-4307,9950;31309,875;34083,873;-2773,9980;31309,8750;27511,762895438780;24903,6662789563998;24955,019420164732;NA;NA;0;NA;4
01557;Wintgens;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Wintgens;fiscal;'s-Gravenhage;18119;37326;3451;0,307643982613420;0,6337578957517818;0,05859387461994655;486360;1189;4526;36721;1250;62172;0,36668563953546435;1,24821505247496e-02;0,62083220993978605;liberal;liberal;1818-01-08;1849-02-13;8479;1895-01-12;mr. W. Wintgens;0,522284122562674;0,7294007490636704;0;0;324;0,27059925093632958;0,000;45779,000;362856,0000;82943,000;93531,000;1526,000;18243,000;0,000;7702,000;-6622,00000;630711,6000;-2528,5750;628183,025;630711,600;-2150,8250;628560,7750;656293,619577483041;168246,0684199058742;128202,951287988661;0,00;0,000000000000;0;0,0000000000000;4
